,player,position,team,Expected Points 2019/2020,Std Points 2019/2020,Lower 95% Confidence Points 2019/2020,Upper 95% Confidence Points 2019/2020,Expected Goals 2019/2020,Expected Clean Sheets 2019/2020,Expected Minutes Played 2019/2020
1,Petr Cech,GKP,Arsenal,58.6335,13.173389000177593,32.28672199964481,84.98027800035518,0.3725,4.846,1441.984
3,Laurent Koscielny,DEF,Arsenal,82.131,18.34821078470595,45.4345784305881,118.82742156941191,2.8155,5.4195,1611.6335
6,Héctor Bellerín,DEF,Arsenal,97.8265,17.78725380012328,62.25199239975343,133.40100760024654,1.5215,6.556,1990.3725
7,Carl Jenkinson,DEF,Arsenal,6.1125,4.822846021800809,0.0,15.758192043601618,0.2795,0.014,148.9325
8,Nacho Monreal,DEF,Arsenal,101.2595,19.000214729049734,63.259070541900535,139.25992945809946,2.87,6.4495,1917.6445
9,Rob Holding,DEF,Arsenal,39.955,13.912331759989032,12.130336480021935,67.77966351997806,0.7585,2.775,809.1295
10,Shkodran Mustafi,DEF,Arsenal,110.041,17.689045169256616,74.66290966148676,145.41909033851323,2.8065,7.8165,2359.1475
11,Sead Kolasinac,DEF,Arsenal,98.7605,18.0469149648908,62.666670070218395,134.85432992978158,1.4125,6.518,1901.7105
12,Mesut Özil,MID,Arsenal,91.6885,16.916810212034658,57.85487957593069,125.52212042406933,4.413,6.293,1826.103
14,Aaron Ramsey,MID,Arsenal,69.633,14.987238271275997,39.658523457448,99.60747654255199,3.761,1.8865,1473.358
16,Alex Iwobi,MID,Arsenal,74.6125,12.633382118419489,49.34573576316102,99.87926423683898,2.58,3.1495,1846.407
17,Mohamed Elneny,MID,Arsenal,19.849,7.713313101385165,4.422373797229671,35.275626202770326,0.6785,0.7175,575.775
18,Granit Xhaka,MID,Arsenal,106.328,14.768324752658977,76.79135049468205,135.86464950531797,3.496,8.6145,2626.3005
19,Jack Wilshere,MID,West Ham,22.937,7.626796903025538,7.683406193948926,38.190593806051076,0.6525,0.3185,697.727
20,Danny Welbeck,FWD,Arsenal,23.813,7.3828199896787385,9.047360020642522,38.578639979357476,1.332,0.0005,549.827
21,Lucas Pérez,FWD,West Ham,14.6285,5.567269326159815,3.4939613476803704,25.76303865231963,0.862,0.0,328.777
22,Alexandre Lacazette,FWD,Arsenal,124.7735,17.82905487539931,89.11539024920137,160.43160975079863,10.319,7.298,2288.756
23,Henrikh Mkhitaryan,MID,Arsenal,78.7145,15.786797957470664,47.14090408505867,110.28809591494132,3.9715,4.067,1616.5505
24,Calum Chambers,DEF,Fulham,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Reiss Nelson,MID,Arsenal,6.2855,6.044914370774827,0.0,18.375328741549655,0.4885,0.0295,104.403
26,Ainsley Maitland-Niles,MID,Arsenal,32.655,9.218458385218215,14.218083229563572,51.09191677043643,1.063,1.585,949.485
28,Edward Nketiah,FWD,Arsenal,6.895,3.844993498043932,0.0,14.584986996087864,0.3015,0.0,94.65
30,Konstantinos Mavropanos,DEF,Arsenal,7.96,5.698455931215077,0.0,19.356911862430152,0.3455,0.0715,205.956
31,Pierre-Emerick Aubameyang,FWD,Arsenal,127.8095,22.471987222985,82.86552555403,172.75347444597,14.645,7.038,2028.0405
32,Joseph Willock,MID,Arsenal,6.138,5.07631322910633,0.0,16.29062645821266,0.378,0.002,118.3585
34,Asmir Begovic,GKP,Bournemouth,85.503,12.012617991095862,61.477764017808276,109.52823598219172,0.4275,5.651,2470.082
