Burnley,Swansea,0,1
Crystal Palace,West Brom,0,1
Everton,Tottenham,1,1
Hull,Leicester,2,1
Man City,Sunderland,2,1
Middlesbrough,Stoke,1,1
Southampton,Watford,1,1
Arsenal,Liverpool,3,4
Bournemouth,Man United,1,3
Chelsea,West Ham,2,1
Man United,Southampton,2,0
Burnley,Liverpool,2,0
Leicester,Arsenal,0,0
Stoke,Man City,1,4
Swansea,Hull,0,2
Tottenham,Crystal Palace,1,0
Watford,Chelsea,1,2
West Brom,Everton,1,2
Sunderland,Middlesbrough,1,2
West Ham,Bournemouth,1,0
Chelsea,Burnley,3,0
Crystal Palace,Bournemouth,1,1
Everton,Stoke,1,0
Hull,Man United,0,1
Leicester,Swansea,2,1
Southampton,Sunderland,1,1
Tottenham,Liverpool,1,1
Watford,Arsenal,1,3
Man City,West Ham,3,1
West Brom,Middlesbrough,0,0
Arsenal,Southampton,2,1
Bournemouth,West Brom,1,0
Burnley,Hull,1,1
Liverpool,Leicester,4,1
Man United,Man City,1,2
Middlesbrough,Crystal Palace,1,2
Stoke,Tottenham,0,4
West Ham,Watford,2,4
Swansea,Chelsea,2,2
Sunderland,Everton,0,3
Chelsea,Liverpool,1,2
Everton,Middlesbrough,3,1
Hull,Arsenal,1,4
Leicester,Burnley,3,0
Man City,Bournemouth,4,0
West Brom,West Ham,4,2
Crystal Palace,Stoke,4,1
Southampton,Swansea,1,0
Tottenham,Sunderland,1,0
Watford,Man United,3,1
Arsenal,Chelsea,3,0
Bournemouth,Everton,1,0
Liverpool,Hull,5,1
Man United,Leicester,4,1
Middlesbrough,Tottenham,1,2
Stoke,West Brom,1,1
Sunderland,Crystal Palace,2,3
Swansea,Man City,1,3
West Ham,Southampton,0,3
Burnley,Watford,2,0
Everton,Crystal Palace,1,1
Hull,Chelsea,0,2
Sunderland,West Brom,1,1
Swansea,Liverpool,1,2
Watford,Bournemouth,2,2
West Ham,Middlesbrough,1,1
Burnley,Arsenal,0,1
Leicester,Southampton,0,0
Man United,Stoke,1,1
Tottenham,Man City,2,0
Arsenal,Swansea,3,2
Bournemouth,Hull,6,1
Chelsea,Leicester,3,0
Crystal Palace,West Ham,0,1
Man City,Everton,1,1
Stoke,Sunderland,2,0
West Brom,Tottenham,1,1
Middlesbrough,Watford,0,1
Southampton,Burnley,3,1
Liverpool,Man United,0,0
Arsenal,Middlesbrough,0,0
Bournemouth,Tottenham,0,0
Burnley,Everton,2,1
Hull,Stoke,0,2
